Protocol Version #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 15 10 10 15 2.3 4 0 1250 250.0000 1.0000 100.00 2.7008 0 1250 250.0000 1.0000 100.00 2.6924
SIMPLE randInt 15 20 10 15 2.3 4 0 2500 500.0000 1.0000 100.00 2.7070 0 1250 250.0000 1.0000 100.00 2.7378
SIMPLE randInt 15 40 10 15 2.3 4 0 5000 1000.0000 1.0000 100.00 2.7454 0 1250 250.0000 1.0000 100.00 2.7732
SIMPLE randInt 15 80 10 15 2.3 4 0 10000 2000.0000 1.0000 100.00 2.6945 0 1250 250.0000 1.0000 100.00 2.7437
SIMPLE randInt 15 10 20 15 2.3 4 0 1250 250.0000 1.0000 100.00 2.6871 0 2500 500.0000 1.0000 100.00 2.7151
SIMPLE randInt 15 20 20 15 2.3 4 0 2500 500.0000 1.0000 100.00 2.7016 0 2500 500.0000 1.0000 100.00 2.7038
SIMPLE randInt 15 40 20 15 2.3 4 0 5000 1000.0000 1.0000 100.00 2.7209 0 2500 500.0000 1.0000 100.00 2.7477
SIMPLE randInt 15 80 20 15 2.3 4 0 10000 2000.0000 1.0000 100.00 2.7105 0 2500 500.0000 1.0000 100.00 2.7006
SIMPLE randInt 15 10 40 15 2.3 4 0 1250 250.0000 1.0000 100.00 2.7278 0 5000 1000.0000 1.0000 100.00 2.7539
SIMPLE randInt 15 20 40 15 2.3 4 0 2500 500.0000 1.0000 100.00 2.7015 0 5000 1000.0000 1.0000 100.00 2.7386
SIMPLE randInt 15 40 40 15 2.3 4 0 5000 1000.0000 1.0000 100.00 2.7219 0 5000 1000.0000 1.0000 100.00 2.7758
SIMPLE randInt 15 80 40 15 2.3 4 0 10000 2000.0000 1.0000 100.00 2.7046 0 5000 1000.0000 1.0000 100.00 2.7363
SIMPLE randInt 15 10 80 15 2.3 4 0 1250 250.0000 1.0000 100.00 2.6880 0 10000 2000.0000 1.0000 100.00 2.7113
SIMPLE randInt 15 20 80 15 2.3 4 0 2500 500.0000 1.0000 100.00 2.7030 0 10000 2000.0000 1.0000 100.00 2.7080
SIMPLE randInt 15 40 80 15 2.3 4 0 5000 1000.0000 1.0000 100.00 2.7156 0 10000 2000.0000 1.0000 100.00 2.7512
SIMPLE randInt 15 80 80 15 2.3 4 0 10000 2000.0000 1.0000 100.00 2.7086 0 10000 2000.0000 1.0000 100.00 2.7378
CWFR randInt 15 10 10 15 2.3 4 975 275 55.0000 .2200 22.00 1.7130 0 1250 250.0000 1.0000 100.00 2.7263
CWFR randInt 15 20 10 15 2.3 4 1954 546 109.2000 .2184 21.84 1.7237 0 1250 250.0000 1.0000 100.00 2.6963
CWFR randInt 15 40 10 15 2.3 4 3840 1160 232.0000 .2320 23.20 1.7285 0 1250 250.0000 1.0000 100.00 2.7327
CWFR randInt 15 80 10 15 2.3 4 7750 2250 450.0000 .2250 22.50 1.7117 0 1250 250.0000 1.0000 100.00 2.7505
CWFR randInt 15 10 20 15 2.3 4 983 267 53.4000 .2136 21.36 1.7083 0 2500 500.0000 1.0000 100.00 2.6916
CWFR randInt 15 20 20 15 2.3 4 1935 565 113.0000 .2260 22.60 1.7279 0 2500 500.0000 1.0000 100.00 2.7058
CWFR randInt 15 40 20 15 2.3 4 3911 1089 217.8000 .2178 21.78 1.7244 0 2500 500.0000 1.0000 100.00 2.7717
CWFR randInt 15 80 20 15 2.3 4 7978 2022 404.4000 .2022 20.22 1.7035 0 2500 500.0000 1.0000 100.00 2.7158
CWFR randInt 15 10 40 15 2.3 4 1046 204 40.8000 .1632 16.32 1.6710 0 5000 1000.0000 1.0000 100.00 2.7700
CWFR randInt 15 20 40 15 2.3 4 2120 380 76.0000 .1520 15.20 1.6515 0 5000 1000.0000 1.0000 100.00 2.7612
CWFR randInt 15 40 40 15 2.3 4 4205 795 159.0000 .1590 15.90 1.6685 0 5000 1000.0000 1.0000 100.00 2.8287
CWFR randInt 15 80 40 15 2.3 4 8412 1588 317.6000 .1588 15.88 1.6463 0 5000 1000.0000 1.0000 100.00 2.7415
CWFR randInt 15 10 80 15 2.3 4 1130 120 24.0000 .0960 9.60 1.5503 0 10000 2000.0000 1.0000 100.00 2.7203
CWFR randInt 15 20 80 15 2.3 4 2272 228 45.6000 .0912 9.12 1.5543 0 10000 2000.0000 1.0000 100.00 2.7111
CWFR randInt 15 40 80 15 2.3 4 4595 405 81.0000 .0810 8.10 1.5439 0 10000 2000.0000 1.0000 100.00 2.7223
CWFR randInt 15 80 80 15 2.3 4 9123 877 175.4000 .0877 8.77 1.5510 0 10000 2000.0000 1.0000 100.00 2.7095
SSO_APRX randInt 15 10 10 15 2.3 4 1038 212 42.4000 .1696 16.96 1.6930 635 615 123.0000 .4920 49.20 2.0820
SSO_APRX randInt 15 20 10 15 2.3 4 2069 431 86.2000 .1724 17.24 1.7041 681 569 113.8000 .4552 45.52 2.0360
SSO_APRX randInt 15 40 10 15 2.3 4 4014 986 197.2000 .1972 19.72 1.7343 680 570 114.0000 .4560 45.60 2.0515
SSO_APRX randInt 15 80 10 15 2.3 4 8069 1931 386.2000 .1931 19.31 1.7180 691 559 111.8000 .4472 44.72 2.0350
SSO_APRX randInt 15 10 20 15 2.3 4 884 366 73.2000 .2928 29.28 1.9087 592 1908 381.6000 .7632 76.32 2.4623
SSO_APRX randInt 15 20 20 15 2.3 4 1746 754 150.8000 .3016 30.16 1.9087 594 1906 381.2000 .7624 76.24 2.4501
SSO_APRX randInt 15 40 20 15 2.3 4 3466 1534 306.8000 .3068 30.68 1.9271 549 1951 390.2000 .7804 78.04 2.4915
