Protocol Version #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 20 10 10 20 2.3 4 0 1250 250.0000 1.0000 100.00 2.8307 0 1250 250.0000 1.0000 100.00 2.8326
SIMPLE randInt 20 20 10 20 2.3 4 0 2500 500.0000 1.0000 100.00 2.8526 0 1250 250.0000 1.0000 100.00 2.8783
SIMPLE randInt 20 40 10 20 2.3 4 0 5000 1000.0000 1.0000 100.00 2.8397 0 1250 250.0000 1.0000 100.00 2.8636
SIMPLE randInt 20 80 10 20 2.3 4 0 10000 2000.0000 1.0000 100.00 2.8352 0 1250 250.0000 1.0000 100.00 2.8745
SIMPLE randInt 20 10 20 20 2.3 4 0 1250 250.0000 1.0000 100.00 2.8226 0 2500 500.0000 1.0000 100.00 2.8531
SIMPLE randInt 20 20 20 20 2.3 4 0 2500 500.0000 1.0000 100.00 2.8527 0 2500 500.0000 1.0000 100.00 2.8719
SIMPLE randInt 20 40 20 20 2.3 4 0 5000 1000.0000 1.0000 100.00 2.8400 0 2500 500.0000 1.0000 100.00 2.8694
SIMPLE randInt 20 80 20 20 2.3 4 0 10000 2000.0000 1.0000 100.00 2.8475 0 2500 500.0000 1.0000 100.00 2.8705
SIMPLE randInt 20 10 40 20 2.3 4 0 1250 250.0000 1.0000 100.00 2.8747 0 5000 1000.0000 1.0000 100.00 2.9247
SIMPLE randInt 20 20 40 20 2.3 4 0 2500 500.0000 1.0000 100.00 2.8335 0 5000 1000.0000 1.0000 100.00 2.8371
SIMPLE randInt 20 40 40 20 2.3 4 0 5000 1000.0000 1.0000 100.00 2.8328 0 5000 1000.0000 1.0000 100.00 2.8612
SIMPLE randInt 20 80 40 20 2.3 4 0 10000 2000.0000 1.0000 100.00 2.8313 0 5000 1000.0000 1.0000 100.00 2.8737
SIMPLE randInt 20 10 80 20 2.3 4 0 1250 250.0000 1.0000 100.00 2.8282 0 10000 2000.0000 1.0000 100.00 2.8760
SIMPLE randInt 20 20 80 20 2.3 4 0 2500 500.0000 1.0000 100.00 2.8380 0 10000 2000.0000 1.0000 100.00 2.8563
SIMPLE randInt 20 40 80 20 2.3 4 0 5000 1000.0000 1.0000 100.00 2.8328 0 10000 2000.0000 1.0000 100.00 2.8692
SIMPLE randInt 20 80 80 20 2.3 4 0 10000 2000.0000 1.0000 100.00 2.8200 0 10000 2000.0000 1.0000 100.00 2.8227
CWFR randInt 20 10 10 20 2.3 4 989 261 52.2000 .2088 20.88 1.7953 0 1250 250.0000 1.0000 100.00 2.8341
CWFR randInt 20 20 10 20 2.3 4 1996 504 100.8000 .2016 20.16 1.7586 0 1250 250.0000 1.0000 100.00 2.8296
CWFR randInt 20 40 10 20 2.3 4 3931 1069 213.8000 .2138 21.38 1.7983 0 1250 250.0000 1.0000 100.00 2.9105
CWFR randInt 20 80 10 20 2.3 4 7866 2134 426.8000 .2134 21.34 1.7699 0 1250 250.0000 1.0000 100.00 2.8570
CWFR randInt 20 10 20 20 2.3 4 1024 226 45.2000 .1808 18.08 1.7419 0 2500 500.0000 1.0000 100.00 2.8533
CWFR randInt 20 20 20 20 2.3 4 2030 470 94.0000 .1880 18.80 1.7426 0 2500 500.0000 1.0000 100.00 2.8771
CWFR randInt 20 40 20 20 2.3 4 4095 905 181.0000 .1810 18.10 1.7380 0 2500 500.0000 1.0000 100.00 2.8654
CWFR randInt 20 80 20 20 2.3 4 8177 1823 364.6000 .1823 18.23 1.7426 0 2500 500.0000 1.0000 100.00 2.8671
CWFR randInt 20 10 40 20 2.3 4 1123 127 25.4000 .1016 10.16 1.6471 0 5000 1000.0000 1.0000 100.00 2.9369
CWFR randInt 20 20 40 20 2.3 4 2219 281 56.2000 .1124 11.24 1.6481 0 5000 1000.0000 1.0000 100.00 2.8857
CWFR randInt 20 40 40 20 2.3 4 4405 595 119.0000 .1190 11.90 1.6586 0 5000 1000.0000 1.0000 100.00 2.8514
CWFR randInt 20 80 40 20 2.3 4 8802 1198 239.6000 .1198 11.98 1.6512 0 5000 1000.0000 1.0000 100.00 2.8656
CWFR randInt 20 10 80 20 2.3 4 1169 81 16.2000 .0648 6.48 1.5912 0 10000 2000.0000 1.0000 100.00 2.9063
CWFR randInt 20 20 80 20 2.3 4 2330 170 34.0000 .0680 6.80 1.5766 0 10000 2000.0000 1.0000 100.00 2.8530
CWFR randInt 20 40 80 20 2.3 4 4688 312 62.4000 .0624 6.24 1.5801 0 10000 2000.0000 1.0000 100.00 2.8714
CWFR randInt 20 80 80 20 2.3 4 9399 601 120.2000 .0601 6.01 1.5729 0 10000 2000.0000 1.0000 100.00 2.8491
SSO_APRX randInt 20 10 10 20 2.3 4 1058 192 38.4000 .1536 15.36 1.7999 750 500 100.0000 .4000 40.00 2.0719
SSO_APRX randInt 20 20 10 20 2.3 4 2112 388 77.6000 .1552 15.52 1.8179 747 503 100.6000 .4024 40.24 2.0967
SSO_APRX randInt 20 40 10 20 2.3 4 4263 737 147.4000 .1474 14.74 1.7899 707 543 108.6000 .4344 43.44 2.1773
SSO_APRX randInt 20 80 10 20 2.3 4 8389 1611 322.2000 .1611 16.11 1.8136 708 542 108.4000 .4336 43.36 2.1658
SSO_APRX randInt 20 10 20 20 2.3 4 954 296 59.2000 .2368 23.68 2.0472 542 1958 391.6000 .7832 78.32 2.6791
SSO_APRX randInt 20 20 20 20 2.3 4 1946 554 110.8000 .2216 22.16 2.0301 640 1860 372.0000 .7440 74.40 2.6193
SSO_APRX randInt 20 40 20 20 2.3 4 3740 1260 252.0000 .2520 25.20 2.0701 663 1837 367.4000 .7348 73.48 2.5903
SSO_APRX randInt 20 80 20 20 2.3 4 7401 2599 519.8000 .2599 25.99 2.0744 591 1909 381.8000 .7636 76.36 2.6311
SSO_APRX randInt 20 10 40 20 2.3 4 776 474 94.8000 .3792 37.92 2.4403 170 4830 966.0000 .9660 96.60 3.0048
SSO_APRX randInt 20 20 40 20 2.3 4 1630 870 174.0000 .3480 34.80 2.4034 190 4810 962.0000 .9620 96.20 2.9768
